UserTags,time,Tweets
NASA Ames,2024-05-05T20:39:46.000Z," @ThibautCourtois
 
#RealMadridCádiz"
Meeting C++,2024-05-04T09:30:00.000Z,"Book of the Day: A Tour of C++ (3rd Edition) by Bjarne Stroustrup
https://meetingcpp.com/mcpp/books/book.php?hash=13223271b205a859b898f972f5dde45a70ac8339…
#cplusplus
#cpp"
Girona FC,2024-05-04T15:18:18.000Z,𝗧𝗛𝗘 𝗖𝗛𝗔𝗔𝗔𝗔𝗔𝗔𝗠𝗣𝗜𝗢𝗢𝗢𝗢𝗢𝗢𝗢𝗡𝗦 
NASA's Johnson Space Center,2024-05-04T18:34:28.000Z,"It’s giving TIE Fighter. 

The International Space Station (
@iss
) is channeling the force with this image capturing the station giving its best Star Wars impression. Happy #StarWarsDay!"
Troll Football,2024-05-04T13:21:25.000Z," @fedeevalverde
 @Lucasvazquez91"
AD Int Book Fair,2024-05-05T14:00:02.000Z,Why did they leave Europe…
Madrid Zone,2024-05-05T13:56:42.000Z," ¡HOY JUGAMOS! 
 
@Cadiz_CF
 16:15 CEST
 Santiago Bernabéu
 #RealMadridCádiz
 
@HP"
Rust Trending,2024-05-04T08:45:00.000Z," @MrAncelotti
: ""Ha sido una Liga merecida y hemos tenido un apoyo fantástico de la afición"".
 ENTREVISTA COMPLETA  #RMPlay
 #36Ligas"
Physics In History,2024-05-04T20:19:12.000Z," @JoseluMato9
: ""Nos dejamos la piel en el campo para vivir momentos como el de hoy"".
#RealMadridCádiz"
Tesla Owners Silicon Valley,2024-05-04T16:50:56.000Z," @thibautcourtois
: ""Estoy contento por sentirme portero otra vez"".
#RealMadridCádiz"
Figen,2024-05-04T17:48:11.000Z,What a picture 
Historic Vids,2024-05-04T15:38:36.000Z," 68' | 2-0 | ¡¡¡GOOOOOOOOOOL de 
@BellinghamJude
!!!
#RealMadridCádiz | #FC24"
Hubble,2024-05-04T15:44:39.000Z," ¡Disfruta GRATIS, en #RMPlay, nuestro camino para conquistar 
@LaLiga
!
 #36Ligas"
Mike Solana,2024-05-04T22:01:01.000Z,"Astrophysicist Jocelyn Bell Burnell in 1968. 

In 1967, Bell Burnell (aged 24) was working on her Ph.D. at Cambridge when she discovered Pulsars. The discovery was one of the greatest breakthroughs in the history of astrophysics."
illuminatibot,2024-05-05T09:00:00.000Z,Human scale vs Starship
Science girl,2024-05-04T22:01:00.000Z," 90'+3' | 3-0 | ¡¡¡GOOOOOOOOOOL de 
@JoseluMato9
!!!
#RealMadridCádiz | #FC24"
Tim Young,2024-05-04T05:13:13.000Z,"Human life seems valuable in Japan.

Platform safety in Japan."
cinesthetic.,2024-05-04T16:10:08.000Z,"NASA is able to receive data from a spacecraft, that is over 4 billion miles away. Yet some people still lose wifi signal once they move to the kitchen."
Out Of Context Football,2024-05-04T18:46:43.000Z,I am a single issue voter
ShitpostGateway,2024-05-05T10:20:00.000Z,"""They don't ban hate speech; they ban speech they hate."" ~ Elon Musk"
The Instigator,2024-05-04T14:11:29.000Z,Animal speed comparison
Conn,2024-05-05T16:16:14.000Z,"2 whistleblowers dead... 

Who does Boeing think they are... Hillary Clinton???"
𝕐o̴g̴,2024-05-05T12:45:01.000Z,Only one loss in La Liga so far this season.
non aesthetic things,2024-05-05T07:32:38.000Z,"The appearance of Kankrej cattle,"
Talk of the Charts,2024-05-05T02:52:31.000Z,She almost fainted 
Dom Lucre | Breaker of Narratives,2024-05-05T07:19:00.000Z,Actually enjoying watching Chelsea again. Life is good.
paul,2024-05-05T08:19:32.000Z,Dog can’t hide its happiness  after being adopted..
Wall Street Silver,2024-05-05T09:38:54.000Z,35 years of marriage destroyed in seconds
B.O.D,2024-05-05T01:43:13.000Z,BTS’ “Not Today” has reached a new peak of #3 on US iTunes over 7 years after its release.
Jackson Hinkle,2024-05-05T05:44:25.000Z,DEVELOPING: This video of Sylvester Stallone engaging with a younger fan in sweeping the internet. The 77-year-old actor appears to still be motivating the youth from his role in the Rocky films.
Dr Sneaker Nyame,2024-05-05T04:53:13.000Z,the people at genius must be so tired at this point
Breanna Morello,2024-05-05T13:39:02.000Z,What’s the last thing you do before going to bed?
EPL World,2024-05-05T16:40:04.000Z,"As Amakye Dede dey perform  with the live band yesterday for parliament , Mr Eazi just had to pull out his phone and video. Yesterday Mr Eazi  feel the performance pass"
Chaya Raichik,2024-05-05T08:04:05.000Z,"I've got you, fren.."
أدهم أبو سلمية,2024-05-05T06:56:20.000Z,"Here’s just some of the demands the Chicago Teachers Union is reportedly making:

-Fully paid abortions

-45 paid days off

-Housing for illegal migrants 

-A salary increase from $93,182 to $144,620 by 2027

-More LGBTQ+ annual training 

MEANWHILE, only 21% of the Chicago’s…"
Catturd ™,2024-05-05T17:44:35.000Z,"محمد سعدون الكواري:

كل ما يسجل تشيلسي هدف تشعر أن فيه حد بطنه يوجعه."
Josiah Johnson,2024-05-05T00:04:58.000Z,"AMAZING

Please pass this on and help spread the word!"
رسائل,2024-05-05T07:00:01.000Z,إعلام العدو يصف ما يجري في رفح بالحادث الخطير والقاسي جداً، والاشتباكات مازالت مستمرة.
International Space Station,2024-05-04T22:49:28.000Z,Kendrick dropping Not Like Us during the Wolves-Nuggets game
CNBC,2024-05-05T02:23:21.000Z,آمين.. 
PostgreSQL,2024-05-05T15:46:04.000Z,"It is #NationalAstronautDay and 
@NASA_Astronauts
 Butch Wilmore and Suni Williams are counting down to their launch aboard the spaceship “Calypso” at 10:34pm ET on Monday to the orbital outpost."
Vini Jr.,2024-05-05T01:36:00.000Z,"Warren Buffett wrapped up the Q&A portion of the Berkshire Hathaway annual meeting with a cheeky farewell remark.

“I not only hope you come next year. I hope I come next year,” he said, laughing.

Watch here: http://cnb.cx/3WsAcjT"
Donald Trump Jr.,2024-05-05T12:31:35.000Z,News: Swiss PGDay 2024: Schedule Published
Kendrick Lamar,2024-05-05T14:19:19.000Z,La nueva era 
Godot Engine,2024-05-05T01:01:35.000Z,"We are coming 
@ChampionsLeague
 "
Unreal Engine,2024-05-05T14:02:27.000Z,"Google is censoring this pro-Trump ad to protect Biden.   

Let's make it go viral."
Le360,2024-05-05T19:22:08.000Z,Not Like Us
Anthony Joshua,2024-05-05T00:18:10.000Z,"#AMazeFest 
@AMazeFest
 is getting closer 

Time to announce the official (yet casual) #GodotEngine meetup we teased:

 10th of May
 16:00 - 19:00 CEST
 Tempelhofer Feld, Haupteingang, Oderstraße (Ost)

Let's grab food & have a chat in the park. Yes, there will be pins!"
Fantano’s OPINION IN BIO,2024-05-05T11:35:13.000Z,"Ancient scenes and great snakes 

Unearth the treasures that are your UE projects for us using #ScreenshotSaturday  

: 
@qlocsa"
Chris Hadfield,2024-05-05T19:18:10.000Z,A la rencontre des nonuplés maliens  nés au Maroc  et qui viennent de fêter leur 3e anniversaire
Rust,2024-05-04T21:30:33.000Z,Good dude 
BlenderNation,2024-05-05T13:45:03.000Z,There’s only one man who could be behind these info leaks.
DJ Akademiks,2024-05-04T19:55:20.000Z,On this day Al Shepard risked his life to fly a new type of rocket and spaceship into space - tomorrow Suni and Butch will do the same. Godspeed.
European Space Agency,2024-05-04T19:51:23.000Z,"The Rust x Youtooz vinyls ship next month! 
Get yours and more details here:
https://youtooz.com/collections/rust…"
Peter Henlein,2024-05-04T13:18:04.000Z,"Video: Nuts and Glory

https://blendernation.com/2024/05/04/video-nuts-and-glory/…

#blender #blender3d #b3d"
Andrew Tate,2024-05-04T23:52:50.000Z,'Not Like Us' might be a legit hit song.. shit too hard.
NASA HQ PHOTO,2024-05-05T08:48:06.000Z, Check out our #WeekInImages 29 April - 03 May 2024  https://esa.int/About_Us/Week_in_images/Week_in_images_29_April_-_03_May_2024…
Akademiks TV,2024-05-04T14:00:14.000Z,"#CppPollOfToday: Through which medium do you (mostly) learn C++?
https://meetingcpp.com/mcpp/survey/?q=16…
#cplusplus
#cpp"
KoraMaroc,2024-05-05T14:04:51.000Z,"If a man-

- Was friends with Jeffrey Epstein for 20 years.
- Knew Epstein liked his girls ‘on the younger side’ and told the press as much.
- Said Epstein ‘was a lot of fun to be with’.
- Would go to Epstein’s home in Manhattan for meals.
- Flew on Epstein’s jet multiple times.…"
KALYJAY,2024-05-04T21:06:44.000Z,"During Easter in Romania every single person gathers at midnight outside of a church and takes the flame. 

The USA can’t fill streets unless it’s gay pride. 

The UK can’t fill streets unless it’s stab fest carnival. 

This scene is 2000 years old. 

Tradition is beautiful."
Vice President Kamala Harris,2024-05-05T05:10:36.000Z,"A 
@ulalaunch
 Atlas V with 
@BoeingSpace
's #Starliner spacecraft is seen illuminated by spotlights after sunset at SLC-41 as preparations continue for launch. : https://flic.kr/s/aHBqjBoSpk"
CentreGoals.,2024-05-05T11:20:23.000Z,"Kendrick Lamar deleted his meet the grahams cover art after realizing Drake sent him on a dummy mission  with false information about a daughter 

- the shirt is a “shortee” a joke about Kendrick’s height 

- the maybach gloves and Ozempic were a Rick Ross diss"
𝑆𝑎𝑚𝑖𝑟𝑎,2024-05-04T15:00:09.000Z,Les nouveaux maillots du KAC 
B/R Football,2024-05-04T09:42:04.000Z,Pochettino should resign after this season . I’m still not buying it
(Not) YoutubeKids,2024-05-05T13:20:15.000Z,"On Cinco de Mayo, we commemorate Mexico's triumph at the Battle of Puebla. Today, we celebrate that historic victory and the many contributions of Mexican-Americans throughout our nation's story."
Jack Vinijtrongjit | Saakuru Labs,2024-05-05T13:00:02.000Z,"| GOAL: WHAT A GOAL BY XHAKA!!

Frankfurt 0-1 Bayer Leverkusen"
Fútbol Mahou,2024-05-04T22:07:10.000Z,Only Hakim Ziyech can make the whole Rams Park stadium waiting for him and Muslera searching for him 
Joe Biden,2024-05-04T21:34:19.000Z,Xabi Alonso's Bayer Leverkusen are one game away from breaking Benfica's 59-year record for longest undefeated run in European football 
Sky Sports Premier League,2024-05-05T09:29:55.000Z,"Drake: “Your wi-“

Kendrick: “DIE LIGHT SKINNED PEDOPHILE!! DIE!!!”

J.Cole:"
FCB World,2024-05-05T01:29:34.000Z,Join us on this Twitter Space now if you are interested in the topic! $SKR
Arda Guler Xtra,2024-05-05T03:51:33.000Z,"Todos estamos de acuerdo: la 36 siempre será parte de nosotros.  ¡Enhorabuena, 
@realmadrid
!  Otro año más celebrando juntos. "
Milan Kovac,2024-05-05T11:38:44.000Z,"This November, voters are going to teach Donald Trump a valuable lesson: 

Don’t mess with the women of America."
Hip Hop All Day,2024-05-05T14:09:35.000Z,Erling Haaland is now FIVE goals clear in the race for the Golden Boot 
Jono Barnes,2024-05-05T17:39:58.000Z, SPORT | برشلونة سيُجدد عقد روبيرتو رغم خطئه أمس لأنه يُعطي ضمان للفريق ووجوده مهم في غرفة الملابس.
433,2024-05-05T15:43:26.000Z,CAMPEONES  #36ligas
Real Madrid Xtra,2024-05-05T18:38:26.000Z,"Over the past couple of months, our awesome manufacturing team has built more bots for us to work on, and collect AI data from! 

We’ve trained and deployed a neural net allowing Optimus to start doing useful tasks, such as picking up battery cells coming down a conveyor and…"
GOAL Arabia,2024-05-05T19:33:35.000Z,"METRO BOOMIN

NEW BEAT 
'BBL DRIZZY' 
DRAKE DISS (?)

""BEST VERSE OVER THIS GETS A FREE BEAT"""
Vince™,2024-05-05T12:44:53.000Z,Nah Kendrick diss really does go with everything 
Orion Spacecraft,2024-05-03T22:02:29.000Z, Don Carlo  football 𝐫𝐨𝐲𝐚𝐥𝐭𝐲 
Mark Cuban,2024-05-04T18:36:14.000Z,Athletic Club 
Ben Kohlmann,2024-05-05T00:36:00.000Z,"سيطرة مغربية 

العرب الذين توجوا بالدوري الإسباني عبر التاريخ 

دياز آخر المتوجين باللقب مع ريال مدريد "
NASA Commercial Crew,2024-05-04T19:50:34.000Z,Would you keep him now for next season? 
Dr Jordan B Peterson,2024-05-05T09:25:44.000Z,"MD | خسائر برشلونة الاقتصادية هذا الموسم: 

 50M بسبب عدم التأهل لمونديال الأندية 
 2.8M بسبب الخسارة ضد شاختار 
 2.8M بسبب الخسارة ضد أنتويرب 
 6-8M بسبب عدم التأهل للسوبر (مُحتمل) 
 1-2M بسبب احتلال المركز الثالث بالدوري (مُحتمل)."
د. ابراهيم حمامي,2024-05-04T18:44:52.000Z,"Come to the dark side….of the Moon! 
 
On #Artemis II, our crew will travel approximately 4,600 miles beyond the far side of the Moon. But not to worry — NASA’s force will still be with them. 

Happy #StarWarsDay! #maythefourthbewithyou"
Floper,2024-05-05T07:56:44.000Z,Arda Güler has more La Liga titles than  ??
Al Jazeera English,2024-05-05T08:59:38.000Z,Well said Warren !
الجزيرة - عاجل,2024-05-05T03:56:18.000Z,"For ~$9.6B of outside capital, SpaceX has launched a rocket into orbit over 320 times.

For $11B of taxpayer money, California built 1600ft of a concrete  bridge. 

Let that sink in."
Psy-ops,2024-05-04T20:18:52.000Z,"Why the name “Calypso”?
@Astro_Suni
 named the #Starliner spacecraft “Calypso” for her love of the ocean and in reference to the ship of famed explorer Jacques Cousteau,  who sailed across the world on his own ship named bearing the same name.

Learn more: https://go.nasa.gov/3yeiPJr"
em,2024-05-05T07:21:22.000Z,"I predicted exactly this all the way back in 2016 and paid a reputational price for it, commenting on the insane and incomprehensible alliance between ""feminists"" (those resentful harpies) and Islamic fundamentalists. 

The idiot hedonist females on the left, bereft of any…"
Carolyne,2024-05-04T20:39:10.000Z,"يبدو أن القصف الذي تعرض له معسكر كرم أبو سالم قد أصاب خيمة القيادة هناك وعدد الاصابات كبير...
بحسب الاعلام العبري حالة هستيرية في كابينت الحرب لحكومة الإرهاب الاسرائيلية وتبادل للاتهامات بين الأطراف المختلفة فيها."
Leyla Hamed,2024-05-05T15:02:10.000Z,Hilo de portadas históricas del antimadridismo.
Saad M,2024-05-05T11:13:48.000Z,Israel shuts down Al Jazeera offices.
"“IN”- mmorpg, web3.0, NFT",2024-05-04T13:33:23.000Z,عاجل | وسائل إعلام إسرائيلية: الحدث في كرم أبو سالم خطير وهناك حظر نشر على معلومات عن موقع سقوط القذائف والمصابين
kimo1ce.apt,2024-05-05T11:09:28.000Z," Weekend Alpha 
@ParticleNtwrk
 started it's testnet phase 1 and I'll be dropping guides on how to participate, but before then, let’s talk about 
@ParticleNtwrk
 

A thread "
د. عبدالله النفيسي,2024-05-05T13:22:49.000Z,Clubs with the most league titles in Europe’s top  leagues 
OnTime Sports,2024-05-04T23:55:48.000Z,she’s glowing
Pew,2024-05-05T15:00:02.000Z,"Winston Duke mentioned BTS:

: I did learn one thing about you is that you like to listen to music to get character movie scores specifically 
: I love movie scores I've actually been also listening to a lot of BTS recently 
: I love BTS, do you have a favorite BTS song at…"
Nikolas Ferreira,2024-05-05T03:25:33.000Z,خافي ميغيل: تشافي عاقب اللاعبين وقلّص الإجازة من يومين إلى يوم واحد فقط وشكرًا.
A Mansour أحمد منصور,2024-05-05T13:43:07.000Z,"Ipswich Town captain Sam Morsy 
@sammorsy08
 celebrates the team’s promotion to the Premier League wearing the Palestinian flag "
Freu Rodrigues,2024-05-05T09:07:15.000Z,Photo de l'Autoroute Guercif-Nador
شبكة رصد,2024-05-05T13:50:10.000Z,"Enhypen about BTS during their trainee days:

Jungwon: When we're trainees, Jungkook sunbaenim often wore a bucket hat,coz his face was covered we didn't know who he was, he bowed 90° to greet us, so we were wondering who the producer was? the newbie development team next to me…"
Alexandre Garcia,2024-05-05T11:28:06.000Z,"Heroes! Giveaway of $100 $TIN

Requirements:
- follow 
@in_ongame
 
- tag 3 frens
- like & RT

Bonus requirement:
-Increase your chances 2x by typing  to be added in our group chat

48 hours | 2 winners"
Gabriel,2024-05-04T20:34:30.000Z,"Gm

Happy Saturday"
IaraGB,2024-05-04T21:44:41.000Z,صرح نتنياهو أن إسرائيل ضغطت لإغلاق قناة الجزيرة  قريباً . فهل هذا صحيح  ؟ أرجو ألا يكون صحيحاً لأن قناة الجزيرة هي المتنفس الوحيد للأمة العربية والإسلامية وهي التي تقدم زاداً يومياً مباشراً للمشاهد في العالم أجمع  لما يدور في فلسطين المحتلة . نحن مع إستمرار قناة الجزيرة . ليكن…
قناة الحرة,2024-05-05T08:05:59.000Z,Messi & Suárez put on a 𝐒𝐇𝐎𝐖 to hand Inter Miami the win 
Renata Barreto,2024-05-05T12:26:02.000Z,"""ما فعله منتخب المغرب سيفتح المجال لفوز منتخب عربي بالمونديال وكل المنتخبات العربية مؤهلة للمنافسة في مونديال 2030"".. فوزي لقجع وحديث عن طموحاته في كأس العالم بالمغرب 2030
#لقاء_خاص"
Bia Kicis,2024-05-05T15:13:15.000Z,Giant Luffy in Paris
SIMPLY MIH™,2024-05-05T13:26:49.000Z,عملية عسكرية ضخمة لكتائب القسام على تجمع عسكري اسرائيلي في كرم أبو سالم قصف بالصواريخ أعقبه هجوم بالهاون و أعداد كبيرة من القتلى والجرحى في صفوف جيش الاحتلال #فلسطين
Flavio Bolsonaro,2024-05-05T16:08:59.000Z,فرينكي دي يونغ قام بعمل لايك
Kim D. Paim,2024-05-05T10:44:55.000Z,Beraldo deu um sabão na cara do Zé Maria!
Maria P,2024-05-05T14:58:37.000Z,"دعما لفلسطين.. 
قناة نادي الاتحاد السكندري تعلن رفض النادي عرض شركة كوكاكولا للرعاية"
Cristiano Beraldo,2024-05-04T13:53:48.000Z,"Festança no Rio, tragédia no Rio Grande. Em 2007, chocado com o escândalo do mensalão, o consagrado empresário gaúcho Paulo Vellinho avisou todos os convidados - inclusive eu - que cancelava sua festa de 80 anos. Não havia ambiente para uma grandiosa comemoração em Porto Alegre…"
Free Software Foundation (FSF) @fsf@hostux.social,2024-05-05T11:28:12.000Z,"Esse vídeo deixa claro o que está acontecendo no país, o povo do Rio Grande do Sul lutando entre a vida e a morte pra se salvar e resgatar as pessoas, enquanto o restante do país ignora toda essa catástrofe, o Jornal Nacional encerra sua edição RINDO, a mídia nacional não se…"
قناة الجزيرة,2024-05-05T01:58:36.000Z,"O cara achando que estava na Suíça 

Filma o próprio roubo em pleno show.

Fazuéli"
Jo,2024-05-03T21:50:19.000Z,"رئيس #الجزائر #عبد_المجيد_تبون يثير الجدل بخطاب التهديد بـ ""حجرة في يده""

#الحرة #الحقيقة_أولا #شاهد_الحرة"
John Ratcliffe,2024-05-05T12:11:31.000Z,"Acabo de ter a informação que barcos e jet-skis estão sendo impedidos de subir em direção à Canoas por ordem da PM. 

É isso mesmo? Cheio de gente pra resgatar, o Estado não tem capacidade de ajudar todo mundo e ainda impedem quem quer ajudar???"
Angry Staffer,2024-05-05T12:45:19.000Z,Meu Deus! É uma tragédia sem precedentes. Hoje na missa o Padre informou que a gravidade é muito maior do que a mídia tem reportado. Casos como esse nos chocam.
Dr. Buzz Aldrin,2024-05-05T13:26:59.000Z,"Girls can literally do anything w!ld infront of the camera 

Check Thread "
Michael McFaul,2024-05-05T15:33:29.000Z,"A cada dia que passa, Lula demonstra mais ser um “parça” do que um presidente!

Sempre fico na dúvida se suas ações são norteadas pela incompetência ou conveniência. E aí, qual sua aposta?"
UNPLUGGED PERFORMANCE,2024-05-05T11:50:44.000Z,Mais um que pulou do barco do Boulos. Parece que o ato FRACASSADO do Lula pegou muito mal.
الجزيرة فلسطين,2024-05-05T11:37:20.000Z,"Por que o governo quer controlar as redes sociais?  Aqui um dos motivos, não querem que a verdade apareça!"
Cleitinho,2024-05-04T23:10:08.000Z,Debate: Show da Madonna pago com DINHEIRO PÚBLICO | Cristiano Beraldo vs Zé Maria
Pavão Misterious 𝕏 ,2024-05-05T11:19:56.000Z,Learn how to write #freeculture fantasy with free software at #LibrePlanet 2024: https://u.fsf.org/43u
Iztapañero ,2024-05-05T09:05:07.000Z,Learn how to foster and renew community in a long-lived free software project with T. Kim Nguyen at #LibrePlanet 2024: https://u.fsf.org/43d
𝐀𝐅𝐂 𝐀𝐉𝐀𝐗,2024-05-04T17:30:00.000Z,"#ThankGNU! to David Bruce, James Wilson, Hideki Igarashi, Stefan Antun, and Valerio Poggi for helping the FSF continue its goal of educating the public about #freesoftware 1/2"
FSD (Beta) Test Pilot,2024-05-05T13:46:33.000Z,#عاجل | مراسلون بلا حدود: ندين بشدة تصويت الحكومة الإسرائيلية بالإجماع على وقف عمل قناة #الجزيرة في إسرائيل
Pejjy,2024-05-05T14:46:12.000Z,"Wensheng Xie claims: ""It is easy to contribute to GNU"". Learn why at #LibrePlanet 2024: https://u.fsf.org/43h"
Maye Musk,2024-05-04T17:38:22.000Z,"""Community can play an important role in bringing more new people to free software, especially those who have not traditionally been drawn to it."" David Wilson -- Read the full interview: https://u.fsf.org/449"
Rothmus,2024-05-05T16:49:07.000Z,"Assigning your copyright to the FSF helps defend the GPL and keep software free. Thanks to Joshua Branson, Matto Fransen, Marc Albert Fargas Esteve, Nidish Narayanaa Balaji, and Thorsten Alteholz for assigning their copyright to the FSF! 1/2"
Fabrizio Romano,2024-05-05T09:23:30.000Z,"If you're here in person at LibrePlanet 2024, don't forget that you can watch the remote (and volunteer-run!) Neptune stream on the Thinkpads in the Space Station."
Teslaconomics,2024-05-05T13:17:41.000Z,"Many people ask, ""Can you sell free software?"" The answer is ""Yes, the GPL allows everyone to do this. The right to sell copies is part of the definition of free software."" Read the full answer at https://u.fsf.org/3kq"
Thibaut Courtois,2024-05-05T02:59:10.000Z,If you're in person at LibrePlanet 2024 -- and even if you're not -- be sure to look up our exhibitors or visit them in the Space Station!
k,2024-05-05T12:27:58.000Z,Support the FSF by becoming a patron! See all the tiers and benefits at: https://u.fsf.org/3u2
